
Image Name                     PID Session Name        Session#    Mem Usage
NvBackend.exe               125564 Console                    6     18.300 K
OneDrive.exe                115276 Console                    6     46.772 K
msedge.exe                  125276 Console                    6     82.972 K
msedge.exe                  125176 Console                    6      5.092 K
msedge.exe                  125080 Console                    6     20.200 K
msedge.exe                  125636 Console                    6     29.964 K
msedge.exe                  125300 Console                    6     10.608 K
Cortana.exe                 126300 Console                    6     32.280 K
RuntimeBroker.exe           126880 Console                    6     15.472 K
svchost.exe                 123368 Console                    6     12.928 K
chrome.exe                    3940 Console                    6    140.512 K
chrome.exe                   20532 Console                    6      5.008 K
chrome.exe                   18688 Console                    6    124.736 K
chrome.exe                     264 Console                    6     34.152 K
chrome.exe                   19604 Console                    6     11.772 K
TextInputHost.exe            10072 Console                    6     39.704 K
RuntimeBroker.exe            10604 Console                    6     23.028 K
UserOOBEBroker.exe           17864 Console                    6      8.384 K
McUICnt.exe                  24512 Console                    6     28.204 K
ApplicationFrameHost.exe      1916 Console                    6     22.808 K
SystemSettings.exe           27564 Console                    6      1.640 K
chrome.exe                   30364 Console                    6     17.708 K
chrome.exe                   40612 Console                    6     82.136 K
RuntimeBroker.exe            80576 Console                    6     20.844 K
chrome.exe                   97140 Console                    6     57.332 K
chrome.exe                   57028 Console                    6     89.920 K
chrome.exe                  101904 Console                    6     30.948 K
chrome.exe                  100660 Console                    6     20.340 K
Microsoft.Photos.exe        120952 Console                    6     44.932 K
FileCoAuth.exe                9388 Console                    6     28.048 K
cmd.exe                     108156 Console                    6      4.468 K
conhost.exe                 108472 Console                    6     17.380 K
notepad.exe                  21372 Console                    6     54.012 K
SearchProtocolHost.exe       17952 Services                   0     10.164 K
SearchProtocolHost.exe       68640 Console                    6      8.344 K
SearchFilterHost.exe         68332 Services                   0      7.520 K
svchost.exe                  68344 Services                   0     13.404 K
tasklist.exe                 68340 Console                    6     10.152 K
